(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(-0.04, 0.08, 0.96)
(-0.04, 0.11, 0.96)
(-0.03, 0.12, 0.96)
(-0.04, 0.11, 0.96)
(-0.04, 0.11, 0.96)
(-0.05, 0.09, 0.97)
(-0.04, 0.07, 0.97)
(-0.04, 0.08, 0.97)
(-0.04, 0.08, 0.97)
(-0.04, 0.09, 0.97)
(-0.02, 0.09, 0.96)
(0.02, 0.10, 0.96)
(0.02, 0.10, 0.96)
(-0.02, 0.09, 0.96)
(-0.01, 0.09, 0.96)
(-0.01, 0.10, 0.96)
(0.03, 0.11, 0.96)
(0.03, 0.11, 0.96)
(0.03, 0.11, 0.96)
(0.03, 0.11, 0.96)
(0.03, 0.10, 0.96)
(-0.05, 0.09, 0.96)
(-0.05, 0.09, 0.96)
(-0.05, 0.09, 0.96)
(-0.05, 0.09, 0.96)
(-0.05, 0.09, 0.96)
(-0.05, 0.09, 0.96)
(-0.01, 0.09, 0.96)
(-0.01, 0.09, 0.96)
(-0.04, 0.09, 0.96)
(-0.05, 0.09, 0.97)
(-0.05, 0.09, 0.97)
(-0.05, 0.09, 0.97)
(-0.05, 0.08, 0.97)
(-0.04, 0.09, 0.96)
(-0.03, 0.09, 0.96)
(0.01, 0.09, 0.96)
(0.01, 0.08, 0.96)
(0.02, 0.09, 0.96)
(0.02, 0.09, 0.96)
(0.03, 0.08, 0.96)
(0.03, 0.08, 0.96)
(0.02, 0.07, 0.96)
(0.02, 0.08, 0.96)
(0.00, 0.08, 0.96)
(0.00, 0.08, 0.96)
(0.02, 0.08, 0.96)
(0.00, 0.09, 0.96)
(0.02, 0.11, 0.96)
(-0.04, 0.08, 0.97)
(-0.05, 0.08, 0.97)
(-0.07, 0.09, 0.96)
(-0.07, 0.09, 0.96)
(-0.08, 0.08, 0.96)
(-0.07, 0.08, 0.97)
(-0.07, 0.08, 0.97)
(-0.07, 0.08, 0.97)
(-0.09, 0.11, 0.96)
(-0.07, 0.11, 0.96)
(-0.06, 0.10, 0.96)
(-0.05, 0.09, 0.96)
(-0.03, 0.09, 0.96)
(-0.04, 0.09, 0.96)
(-0.02, 0.09, 0.96)
(-0.01, 0.08, 0.96)
(-0.01, 0.09, 0.96)
(-0.02, 0.09, 0.96)
(-0.02, 0.09, 0.96)
(-0.02, 0.09, 0.96)
(-0.03, 0.09, 0.96)
(-0.03, 0.09, 0.96)
(-0.03, 0.08, 0.96)
(-0.01, 0.08, 0.96)
(0.00, 0.08, 0.96)
(0.00, 0.08, 0.96)
(0.00, 0.07, 0.96)
(0.00, 0.07, 0.96)
(0.00, 0.07, 0.96)
(-0.05, 0.10, 0.96)
(-0.08, 0.10, 0.96)
(-0.09, 0.10, 0.96)
(-0.09, 0.10, 0.96)
(-0.09, 0.10, 0.96)
(-0.09, 0.10, 0.96)
(-0.07, 0.10, 0.96)
(-0.04, 0.09, 0.96)
(-0.04, 0.08, 0.96)
(-0.03, 0.08, 0.96)
(-0.03, 0.08, 0.96)
(-0.03, 0.08, 0.96)
(-0.03, 0.08, 0.96)
(-0.03, 0.08, 0.96)
(-0.03, 0.08, 0.96)
(-0.03, 0.08, 0.96)
(-0.03, 0.08, 0.96)
(-0.03, 0.08, 0.96)
(-0.03, 0.08, 0.96)
(-0.03, 0.08, 0.96)
(-0.05, 0.09, 0.96)
(-0.07, 0.09, 0.96)
(-0.08, 0.09, 0.96)
(-0.08, 0.09, 0.96)
(-0.08, 0.09, 0.96)
(-0.08, 0.09, 0.96)
(-0.06, 0.08, 0.96)
(-0.08, 0.09, 0.96)
(-0.08, 0.09, 0.96)
(-0.08, 0.09, 0.96)
(-0.08, 0.09, 0.96)
(-0.08, 0.09, 0.96)
(-0.08, 0.09, 0.96)
(-0.08, 0.09, 0.96)
(-0.07, 0.08, 0.96)
(-0.08, 0.09, 0.96)
(-0.08, 0.09, 0.96)
(-0.08, 0.08, 0.96)
(-0.08, 0.09, 0.96)
(-0.08, 0.08, 0.96)
(-0.08, 0.08, 0.96)
(-0.04, 0.07, 0.96)
(-0.04, 0.07, 0.96)
(-0.03, 0.07, 0.96)
(-0.03, 0.06, 0.96)
(0.00, 0.05, 0.96)
(0.01, 0.05, 0.96)
(0.01, 0.05, 0.96)
(0.02, 0.05, 0.96)
(0.01, 0.06, 0.96)
(-0.04, 0.07, 0.97)
(-0.06, 0.08, 0.97)
(-0.06, 0.08, 0.97)
(-0.06, 0.07, 0.97)
(-0.06, 0.07, 0.97)
(-0.06, 0.07, 0.97)
(-0.02, 0.06, 0.96)
(-0.02, 0.06, 0.96)
(-0.02, 0.07, 0.96)
(-0.02, 0.07, 0.96)
(-0.02, 0.06, 0.96)
(-0.01, 0.06, 0.96)
(-0.01, 0.06, 0.96)
(-0.08, 0.08, 0.97)
(-0.08, 0.08, 0.97)
(-0.05, 0.07, 0.96)
(-0.01, 0.05, 0.96)
(0.00, 0.05, 0.96)
(0.00, 0.05, 0.96)
(0.00, 0.05, 0.96)
(-0.02, 0.06, 0.96)
(-0.02, 0.06, 0.96)
(-0.04, 0.06, 0.96)
(-0.04, 0.06, 0.96)
(-0.04, 0.07, 0.96)
(-0.04, 0.07, 0.96)
(-0.02, 0.07, 0.96)
(0.01, 0.07, 0.96)
(0.02, 0.06, 0.96)
(0.01, 0.04, 0.97)
(-0.06, 0.06, 0.97)
(-0.07, 0.06, 0.97)
(-0.06, 0.04, 0.97)
(-0.05, 0.06, 0.97)
(-0.06, 0.04, 0.97)
(-0.05, 0.03, 0.97)
(-0.05, 0.03, 0.97)
(-0.05, 0.03, 0.97)
(-0.05, 0.05, 0.97)
(-0.06, 0.05, 0.97)
(-0.06, 0.07, 0.97)
(-0.06, 0.07, 0.97)
(-0.09, 0.08, 0.97)
(-0.06, 0.06, 0.97)
(-0.07, 0.06, 0.97)
(-0.07, 0.05, 0.97)
(-0.06, 0.06, 0.97)
(-0.06, 0.07, 0.97)
(-0.07, 0.08, 0.97)
(-0.07, 0.07, 0.97)
(-0.07, 0.08, 0.97)
(-0.07, 0.08, 0.97)
(-0.07, 0.08, 0.97)
(-0.07, 0.08, 0.97)
(-0.07, 0.08, 0.97)
(-0.07, 0.08, 0.97)
(-0.08, 0.09, 0.97)
(-0.08, 0.09, 0.97)
(-0.08, 0.09, 0.97)
(-0.08, 0.08, 0.97)
(0.00, 0.06, 0.96)
(0.01, 0.06, 0.96)
(0.01, 0.06, 0.96)
(0.01, 0.06, 0.96)
(0.01, 0.05, 0.96)
(0.01, 0.05, 0.96)
(0.01, 0.05, 0.96)
(0.01, 0.05, 0.96)
(-0.04, 0.07, 0.97)
(-0.06, 0.07, 0.97)
(-0.06, 0.07, 0.97)
(-0.06, 0.07, 0.97)
(-0.06, 0.07, 0.97)
(-0.06, 0.07, 0.97)
(-0.06, 0.07, 0.97)
(-0.02, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.02, 0.06, 0.97)
(-0.02, 0.06, 0.97)
(-0.02, 0.06, 0.97)
(-0.02, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.04, 0.06, 0.97)
(-0.05, 0.06, 0.97)
(-0.05, 0.06, 0.97)
(-0.05, 0.06, 0.97)
(0.02, 0.05, 0.96)
(0.02, 0.05, 0.96)
(0.02, 0.05, 0.96)
(0.02, 0.04, 0.96)
(0.02, 0.04, 0.96)
(0.02, 0.04, 0.96)
(-0.02, 0.06, 0.97)
(-0.02, 0.06, 0.97)
(-0.02, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.05, 0.97)
(-0.03, 0.05, 0.97)
(-0.03, 0.05, 0.97)
(-0.03, 0.05, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.03, 0.06, 0.97)
(-0.02, 0.06, 0.97)
(-0.02, 0.05, 0.97)
(-0.02, 0.05, 0.97)
(-0.03, 0.05, 0.97)
(-0.03, 0.05, 0.97)
(-0.03, 0.05, 0.97)
(-0.03, 0.05, 0.97)
(-0.03, 0.05, 0.97)
(-0.03, 0.05, 0.97)
(-0.03, 0.05, 0.97)
(-0.03, 0.05, 0.97)
(0.01, 0.05, 0.97)
(0.02, 0.05, 0.96)
(0.02, 0.05, 0.96)
(0.02, 0.05, 0.96)
(0.02, 0.05, 0.96)
(0.02, 0.05, 0.96)
(0.01, 0.05, 0.97)
(-0.02, 0.04, 0.97)
(-0.02, 0.04, 0.97)
(-0.02, 0.04, 0.97)
(-0.02, 0.04, 0.97)
(-0.02, 0.04, 0.97)
(-0.02, 0.04, 0.97)
(-0.02, 0.04, 0.97)
(-0.02, 0.04, 0.97)
(-0.02, 0.04, 0.97)
(-0.02, 0.04, 0.97)
(-0.02, 0.04, 0.97)
(-0.02, 0.04, 0.97)
(-0.02, 0.04, 0.97)
(-0.02, 0.03, 0.97)
(-0.02, 0.03, 0.97)
(-0.02, 0.03, 0.97)
(-0.02, 0.03, 0.97)
(-0.02, 0.03, 0.97)
(-0.02, 0.03, 0.97)
(-0.01, 0.03, 0.97)
(-0.01, 0.03, 0.97)
(-0.01, 0.03, 0.97)
(-0.01, 0.03, 0.97)
(-0.01, 0.03, 0.97)
(-0.01, 0.03, 0.97)
(-0.01, 0.03, 0.97)
(-0.01, 0.03, 0.97)
(-0.02, 0.03, 0.97)
(-0.02, 0.03, 0.97)
(-0.01, 0.03, 0.97)
(-0.01, 0.03, 0.97)
(0.00, 0.03, 0.97)
(0.02, 0.03, 0.97)
(0.02, 0.03, 0.97)
(0.02, 0.03, 0.97)
(0.00, 0.03, 0.97)
(-0.01, 0.03, 0.97)
(-0.02, 0.03, 0.97)
(-0.01, 0.03, 0.97)
(-0.02, 0.03, 0.97)
(-0.02, 0.03, 0.97)
(-0.01, 0.03, 0.97)
(-0.01, 0.03, 0.97)
(0.00, 0.03, 0.97)
(0.00, 0.03, 0.97)
(0.00, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.02, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.01, 0.02, 0.97)
(-0.02, 0.02, 0.97)
(-0.02, 0.02, 0.97)
(-0.02, 0.02, 0.97)
(-0.02, 0.01, 0.97)
(-0.02, 0.01, 0.97)
(-0.01, 0.01, 0.97)
(-0.01, 0.01, 0.97)
(0.00, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.03, 0.01, 0.97)
(0.03, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.00, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.02, 0.01, 0.97)
(-0.02, 0.01, 0.97)
(-0.02, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(0.01, 0.00, 0.97)
(0.00, 0.00, 0.97)
(0.00, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(0.00, 0.00, 0.97)
(0.00, 0.00, 0.97)
(0.00, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.02, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.01, 0.00, 0.97)
(-0.03, 0.00, 0.97)
(-0.04, 0.00, 0.97)
(-0.03, 0.01, 0.97)
(0.02, 0.00, 0.97)
(0.02, -0.01, 0.97)
(0.03, -0.01, 0.97)
(0.02, -0.01, 0.97)
(0.02, -0.01, 0.97)
(0.02, -0.01, 0.97)
(-0.05, 0.00, 0.97)
(-0.05, 0.00, 0.97)
(-0.05, 0.00, 0.97)
(-0.05, 0.00, 0.97)
(-0.05, 0.00, 0.97)
(-0.05, 0.00, 0.97)
(-0.03, 0.00, 0.97)
(-0.05, 0.00, 0.97)
(-0.08, -0.01, 0.97)
(-0.07, 0.00, 0.97)
(-0.07, 0.00, 0.97)
(-0.07, 0.00, 0.97)
(-0.07, 0.00, 0.97)
(-0.05, 0.00, 0.97)
(-0.03, -0.01, 0.97)
(-0.03, -0.01, 0.97)
(-0.03, -0.01, 0.97)
(-0.05, -0.01, 0.97)
(-0.05, 0.00, 0.97)
(-0.05, 0.00, 0.97)
(-0.05, 0.00, 0.97)
(-0.05, 0.00, 0.97)
(-0.05, 0.00, 0.97)
(-0.04, -0.01, 0.97)
(-0.01, -0.01, 0.97)
(-0.01, -0.01, 0.97)
(-0.01, -0.01, 0.97)
(-0.01, -0.01, 0.97)
(-0.01, -0.01, 0.97)
(-0.02, -0.01, 0.97)
(-0.02, -0.01, 0.97)
(-0.02, -0.01, 0.97)
(-0.02, -0.01, 0.97)
(-0.02, -0.01, 0.97)
(-0.02, -0.01, 0.97)
(-0.02, -0.01, 0.97)
(-0.02, -0.01, 0.97)
(-0.02, -0.01, 0.97)
(-0.02, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.03, -0.02, 0.97)
(-0.04, -0.02, 0.97)
(-0.04, -0.02, 0.97)
(-0.04, -0.02, 0.97)
(-0.03, -0.02, 0.97)
(-0.03, -0.02, 0.97)
(-0.03, -0.02, 0.97)
(-0.03, -0.02, 0.97)
(-0.03, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(0.00, -0.02, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.00, -0.02, 0.97)
(-0.04, -0.02, 0.97)
(-0.05, -0.02, 0.97)
(-0.05, -0.02, 0.97)
(-0.05, -0.02, 0.97)
(-0.05, -0.02, 0.97)
(-0.04, -0.02, 0.97)
(-0.02, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.03, 0.97)
(-0.02, -0.03, 0.97)
(-0.02, -0.03, 0.97)
(-0.02, -0.04, 0.97)
(-0.02, -0.04, 0.97)
(-0.02, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(0.00, -0.04, 0.97)
(0.00, -0.04, 0.97)
(0.00, -0.04, 0.97)
(0.00, -0.04, 0.97)
(0.00, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(0.00, -0.04, 0.97)
(0.02, -0.04, 0.97)
(0.05, -0.04, 0.97)
(0.03, -0.03, 0.97)
(0.02, -0.04, 0.97)
(0.01, -0.03, 0.97)
(0.00, -0.03, 0.97)
(-0.02, -0.03, 0.97)
(-0.04, -0.03, 0.97)
(-0.05, -0.03, 0.97)
(-0.05, -0.03, 0.97)
(-0.05, -0.03, 0.97)
(-0.05, -0.03, 0.97)
(-0.05, -0.03, 0.97)
(-0.05, -0.03, 0.97)
(-0.05, -0.03, 0.97)
(0.02, -0.03, 0.97)
(0.03, -0.03, 0.97)
(0.03, -0.03, 0.97)
(0.03, -0.03, 0.97)
(0.03, -0.03, 0.97)
(0.03, -0.03, 0.97)
(0.02, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.00, -0.04, 0.97)
(0.00, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.05, 0.97)
(-0.01, -0.05, 0.97)
(-0.01, -0.05, 0.97)
(-0.01, -0.05, 0.97)
(-0.02, -0.05, 0.97)
(-0.02, -0.05, 0.97)
(-0.02, -0.05, 0.97)
(-0.02, -0.05, 0.97)
(-0.02, -0.05, 0.97)
(-0.02, -0.05, 0.97)
(-0.02, -0.05, 0.97)
(-0.02, -0.05, 0.97)
(-0.02, -0.05, 0.97)
(-0.01, -0.05, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.03, -0.07, 0.97)
(-0.04, -0.07, 0.97)
(-0.04, -0.07, 0.97)
(-0.04, -0.07, 0.97)
(-0.03, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.05, -0.06, 0.97)
(-0.05, -0.06, 0.97)
(-0.05, -0.06, 0.97)
(-0.05, -0.06, 0.97)
(-0.05, -0.06, 0.97)
(-0.05, -0.06, 0.97)
(-0.05, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.96)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.96)
(0.00, -0.06, 0.96)
(0.00, -0.06, 0.96)
(0.00, -0.06, 0.96)
(-0.01, -0.06, 0.96)
(-0.01, -0.06, 0.96)
(0.00, -0.06, 0.96)
(-0.01, -0.06, 0.96)
(-0.01, -0.06, 0.96)
(-0.01, -0.07, 0.96)
(-0.01, -0.07, 0.96)
(-0.01, -0.07, 0.96)
(-0.01, -0.07, 0.96)
(-0.01, -0.07, 0.96)
(-0.05, -0.07, 0.97)
(-0.05, -0.07, 0.97)
(-0.05, -0.07, 0.97)
(-0.05, -0.07, 0.97)
(-0.05, -0.07, 0.97)
(-0.06, -0.07, 0.97)
(-0.06, -0.07, 0.97)
(-0.04, -0.07, 0.97)
(-0.03, -0.08, 0.96)
(-0.02, -0.08, 0.96)
(0.00, -0.08, 0.96)
(0.00, -0.08, 0.96)
(0.00, -0.08, 0.96)
(-0.03, -0.08, 0.96)
(-0.05, -0.08, 0.96)
(-0.05, -0.07, 0.97)
(-0.06, -0.07, 0.97)
(-0.06, -0.07, 0.97)
(-0.05, -0.07, 0.97)
(-0.03, -0.07, 0.97)
(-0.03, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.07, 0.96)
(-0.02, -0.07, 0.96)
(-0.02, -0.07, 0.96)
(-0.02, -0.07, 0.96)
(-0.02, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(0.00, -0.06, 0.97)
(0.00, -0.06, 0.97)
(0.01, -0.06, 0.96)
(0.00, -0.06, 0.97)
(0.00, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.07, 0.97)
(-0.02, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.03, -0.07, 0.97)
(-0.07, -0.06, 0.97)
(-0.07, -0.06, 0.97)
(-0.07, -0.06, 0.97)
(-0.07, -0.06, 0.97)
(-0.04, -0.06, 0.97)
(-0.04, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.07, 0.97)
(-0.03, -0.07, 0.97)
(-0.03, -0.07, 0.96)
(-0.03, -0.07, 0.96)
(-0.03, -0.06, 0.97)
(-0.03, -0.07, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.07, 0.97)
(-0.03, -0.07, 0.97)
(-0.03, -0.07, 0.97)
(-0.03, -0.06, 0.97)
(-0.02, -0.07, 0.96)
(-0.01, -0.06, 0.96)
(0.01, -0.06, 0.96)
(0.01, -0.06, 0.96)
(0.01, -0.06, 0.96)
(0.00, -0.06, 0.96)
(-0.04, -0.06, 0.97)
(-0.05, -0.06, 0.97)
(-0.05, -0.06, 0.97)
(-0.05, -0.06, 0.97)
(-0.04, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.03, -0.06, 0.97)
(-0.02, -0.06, 0.96)
(-0.05, -0.06, 0.97)
(-0.04, -0.07, 0.97)
(-0.05, -0.06, 0.97)
(-0.06, -0.08, 0.97)
(-0.05, -0.07, 0.97)
(-0.05, -0.06, 0.97)
(-0.08, -0.08, 0.96)
(-0.07, -0.07, 0.97)
(-0.07, -0.06, 0.97)
(-0.08, -0.05, 0.97)
(-0.06, -0.08, 0.96)
(-0.04, -0.09, 0.96)
(-0.03, -0.12, 0.96)
(-0.03, -0.11, 0.96)
(-0.03, -0.10, 0.96)
(-0.03, -0.10, 0.96)
(-0.03, -0.10, 0.96)
(-0.03, -0.10, 0.96)
(-0.03, -0.10, 0.96)
(-0.03, -0.10, 0.96)
(-0.03, -0.09, 0.96)
(-0.03, -0.09, 0.96)
(-0.03, -0.10, 0.96)
(-0.03, -0.09, 0.96)
(-0.05, -0.07, 0.97)
(-0.06, -0.07, 0.97)
(-0.05, -0.07, 0.97)
(-0.06, -0.07, 0.97)
(-0.06, -0.08, 0.96)
(-0.06, -0.07, 0.97)
(-0.05, -0.07, 0.96)
(-0.01, -0.07, 0.96)
(-0.01, -0.07, 0.96)
(-0.01, -0.07, 0.96)
(-0.03, -0.07, 0.96)
(-0.04, -0.07, 0.97)
(-0.06, -0.06, 0.97)
(-0.06, -0.06, 0.97)
(-0.06, -0.06, 0.97)
(-0.04, -0.05, 0.97)
(-0.03, -0.05, 0.97)
(-0.03, -0.05, 0.97)
(-0.04, -0.05, 0.97)
(-0.03, -0.05, 0.97)
(-0.03, -0.05, 0.97)
(-0.03, -0.05, 0.97)
(-0.02, -0.05, 0.97)
(-0.02, -0.04, 0.97)
(-0.04, -0.05, 0.97)
(-0.06, -0.05, 0.97)
